,Holiday,count(date),avg(Trip_distance_abs),stddev_samp(Trip_distance_abs),min(Trip_distance_abs),max(Trip_distance_abs),avg(speed),stddev_samp(speed),min(speed),max(speed),avg(Efficiency),stddev_samp(Efficiency),min(Efficiency),max(Efficiency)
0,0,28383717,3.519583194829682,3.2962193429858515,0.01,659.58,0.2568027335511998,0.08923593374753952,0.17000255950857435,1.2491803278688522,1.5606940458799963,25.51383570098496,0.0,23400.0
1,1,799114,3.555394949907019,3.337221223629462,0.01,280.46,0.27128899775615234,0.09926111627072516,0.1700048851978505,1.2499999999999998,1.5625392839818844,24.109822489290597,0.0,9300.0
