,RateCodeID,icon,hour,count
242,2,clear-night,5,2538
243,3,cloudy,17,163
244,3,snow,18,19
245,5,fog,4,354
246,2,clear-day,15,7846
247,5,cloudy,23,3535
248,4,partly-cloudy-day,7,57
249,99,partly-cloudy-night,22,1
250,6,partly-cloudy-night,1,4
251,99,clear-night,22,1
252,5,cloudy,17,3711
253,4,clear-night,0,794
254,2,clear-night,17,1654
255,2,fog,7,147
256,6,partly-cloudy-night,19,10
257,2,partly-cloudy-day,9,620
258,1,partly-cloudy-day,6,19066
259,1,cloudy,17,200769
260,5,clear-night,21,35272
261,5,clear-day,14,18869
262,2,fog,3,33
263,1,partly-cloudy-night,7,81670
264,6,fog,9,3
265,3,partly-cloudy-night,2,132
266,3,rain,3,37
267,1,wind,18,225725
268,2,clear-day,7,2380
269,5,wind,11,2412
270,2,wind,3,52
271,2,cloudy,22,242
272,2,fog,11,68
273,2,snow,0,15
274,6,rain,6,3
275,2,clear-night,6,3140
276,3,clear-night,4,737
277,6,rain,4,6
278,6,partly-cloudy-night,22,8
279,3,fog,13,12
280,99,rain,16,4
281,4,clear-day,8,350
282,3,wind,6,38
283,6,partly-cloudy-night,3,1
284,5,partly-cloudy-night,6,2001
285,4,fog,0,6
286,2,cloudy,23,264
287,6,clear-day,17,14
288,1,wind,20,150041
289,5,partly-cloudy-night,17,996
290,1,clear-day,15,1426746
291,3,partly-cloudy-day,11,561
292,6,wind,16,4
293,5,snow,12,373
294,1,snow,13,12410
295,4,cloudy,13,60
296,5,clear-day,18,19773
297,5,clear-day,10,27887
298,1,cloudy,7,88827
299,4,wind,15,70
300,2,cloudy,11,630
301,1,partly-cloudy-night,1,223670
302,5,cloudy,16,3556
303,5,fog,16,484
304,5,snow,0,207
305,3,snow,16,43
306,2,snow,6,20
307,2,snow,8,48
308,1,partly-cloudy-night,0,119177
309,6,partly-cloudy-night,21,9
310,5,wind,17,3975
311,6,clear-day,19,22
312,1,partly-cloudy-day,9,160799
313,3,fog,12,18
314,1,rain,11,103874
315,1,rain,5,34321
316,6,clear-night,0,37
317,6,clear-day,12,67
318,6,clear-day,18,41
319,5,wind,23,1592
320,1,partly-cloudy-night,18,83274
321,1,cloudy,14,177455
322,1,cloudy,23,207000
323,1,fog,13,14883
324,6,partly-cloudy-day,14,31
325,4,wind,3,14
326,6,partly-cloudy-night,2,7
327,2,fog,16,112
328,5,snow,3,143
329,5,clear-day,15,32322
330,1,rain,7,77964
331,1,wind,14,129183
332,6,wind,13,1
333,2,fog,4,38
334,1,clear-day,19,967743
335,99,partly-cloudy-day,17,73
336,2,partly-cloudy-night,5,1055
337,4,clear-day,11,353
338,2,wind,12,334
339,2,rain,10,364
340,3,cloudy,19,125
341,1,fog,10,26275
342,1,fog,12,14191
343,1,snow,1,8684
344,1,partly-cloudy-day,15,331406
345,4,snow,0,4
346,6,fog,11,1
347,1,fog,22,26153
348,1,snow,4,6413
349,1,clear-day,12,1202249
350,3,cloudy,14,246
351,2,wind,15,967
352,2,rain,0,190
353,1,rain,1,93082
354,4,rain,11,48
355,3,fog,14,23
356,6,clear-day,10,55
357,1,partly-cloudy-night,21,176511
358,99,clear-night,18,2
359,6,snow,23,2
360,1,rain,17,193203
361,3,clear-day,19,517
362,3,wind,15,236
363,4,clear-night,20,433
364,2,cloudy,10,493
365,3,cloudy,10,135
366,5,fog,1,365
367,4,rain,9,58
368,6,wind,20,3
369,4,partly-cloudy-night,20,186
370,3,partly-cloudy-day,13,501
371,4,rain,8,54
372,4,partly-cloudy-night,22,193
