,Holiday,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,0,10999863,0.21741364549968298,0.07618090312300367,5.1282051282051286e-05,0.9994999999999999
1,1,284390,0.21721598601130346,0.07726918926662604,8.333333333333333e-05,0.988
