,weekofday,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,3,1535575,0.2196904258490143,0.07797391609576314,0.00010989010989010989,0.9933774834437086
1,0,1282940,0.21833934665190585,0.07786909097525603,8.097165991902834e-05,0.999
2,5,2185630,0.21479755044486076,0.07364437576581064,9.090909090909092e-05,0.996774193548387
3,6,1992170,0.21447218466234783,0.0732153659925354,6.006006006006006e-05,0.999
4,1,1265197,0.21910145095086173,0.07803980168995168,0.0001282051282051282,0.9966666666666667
5,4,1689470,0.21868776640727175,0.07719676419789423,7.8125e-05,0.9994999999999999
6,2,1333271,0.2193260189226972,0.07776074833728157,5.1282051282051286e-05,0.9926829268292684
