,weekofday,Pick_up_hour,avg(Efficiency),min(Efficiency),max(Efficiency)
0,5,10,1.0877337467311592,0.00024,25.714285714285715
1,2,22,1.0986375994181496,5.62429696287964e-05,28.125
2,3,17,1.0434189862537313,0.0001093095281472035,28.799999999999997
3,4,1,1.1380300509634962,0.00045146726862302486,29.999999999999993
4,4,2,1.149990579826216,0.006726457399103139,29.26829268292683
5,0,6,1.123175174182759,0.0003099173553719008,29.032258064516125
6,3,10,1.091335914715351,0.00030075187969924805,29.032258064516125
7,5,23,1.0496294468021574,0.0004846526655896608,29.999999999999993
8,5,4,1.121561924264987,0.005172413793103447,29.032258064516125
9,6,21,1.0795543785691517,0.00011942675159235669,28.2051282051282
10,3,8,1.072819478593493,0.0005059021922428331,27.906976744186046
11,0,4,1.1648041373032043,0.0002184200946487077,27.789473684210527
12,1,4,1.183874813269703,0.010075566750629723,29.50819672131147
13,2,21,1.0887114357686194,2.7427317608337905e-05,29.999999999999993
14,1,11,1.0745089520934865,0.000544959128065395,29.428571428571434
15,4,6,1.1236811626922298,0.0005571030640668524,29.032258064516125
16,5,1,1.0950004971432663,3.283712784588441e-05,29.714285714285715
17,5,5,1.1544744579295954,0.006920415224913496,29.032258064516125
18,2,8,1.0744125431078677,0.0032482598607888632,29.158878504672895
19,0,1,1.1613205349336682,0.002247191011235955,25.0
20,1,1,1.1791345971380705,0.00010737294201861131,26.47058823529412
21,0,19,1.082437998531854,0.0021551724137931034,25.263157894736842
22,4,20,1.055935881290003,0.00025188916876574307,28.30188679245283
23,0,5,1.182501782429562,0.1530612244897959,29.72972972972973
24,2,3,1.1930593931521472,0.00020107238605898123,28.125
25,3,12,1.0691920134574497,0.00022770398481973436,28.571428571428573
26,4,8,1.0783068272431555,0.0003944773175542406,28.88888888888889
27,2,0,1.143802786612075,0.0014527845036319612,26.89655172413793
28,6,8,1.1822197534354089,0.0007672634271099745,29.158878504672895
29,4,15,1.0548202422607642,2.8333962976955045e-05,29.999999999999993
30,0,22,1.1192264332733253,9.955201592832254e-05,28.88888888888889
31,2,13,1.074241549896591,0.00013080444735120994,29.702970297029704
32,2,23,1.114176927349071,5.108556832694764e-05,28.799999999999997
33,5,22,1.0475274824046115,0.00022099447513812155,28.571428571428573
34,6,6,1.181129143120198,0.000784313725490196,25.333333333333332
35,5,16,1.0324603549811513,0.00022988505747126436,28.108108108108105
36,6,12,1.0742077606762717,0.008522727272727274,28.88888888888889
37,4,19,1.047696122027441,5.005422541086177e-05,28.695652173913043
38,4,16,1.047193331719854,6.815858230148814e-05,27.36842105263158
39,4,17,1.0400588717239034,0.0007425742574257426,26.08695652173913
40,1,15,1.056364542609666,0.0008152173913043478,25.0
41,1,19,1.0754916896104258,0.000316622691292876,28.333333333333336
42,4,4,1.1484820040273054,7.299270072992701e-05,25.0
43,0,0,1.140489047190709,0.00047641734159123395,29.433962264150946
44,0,20,1.094881062697707,0.0010830324909747295,29.411764705882355
45,3,3,1.1682316765221745,0.1046077210460772,29.999999999999993
46,5,12,1.0553627077403573,0.000316288877174486,27.906976744186046
47,6,17,1.0390088843589087,8.533636751528943e-05,29.629629629629626
48,2,2,1.1868786604147057,0.004347826086956522,25.0
49,6,15,1.0440247336447535,0.00014405762304921967,29.26829268292683
50,2,17,1.0441954604821555,0.00016451878256100905,29.419565217391302
51,5,7,1.1640072906790957,0.0005185825410544511,28.799999999999997
52,2,18,1.0512013912908094,3.47182039115843e-05,28.333333333333336
53,1,2,1.190957808929348,0.14856738592147153,21.81818181818182
54,5,2,1.1042745634223423,0.0002586206896551724,28.378378378378375
55,2,14,1.0632364527841531,0.0013856812933025404,26.666666666666668
56,1,17,1.0490169570325554,0.0001052262364082778,29.999999999999993
57,3,23,1.1058064289627334,0.000366188587122368,29.433962264150946
58,2,11,1.07511675807168,8.167710318540701e-05,26.25
59,6,18,1.0465694959526204,0.00018963337547408344,27.5
60,4,12,1.0728983544194142,6.329113924050633e-05,28.799999999999997
61,5,0,1.0769881809004394,3.334815473543797e-05,29.032258064516125
62,2,6,1.1235203264164233,0.005674978503869304,29.999999999999993
63,6,10,1.1226738937984604,0.0006944444444444445,27.0
64,2,16,1.051553019999743,0.00018110473890733475,27.619047619047617
65,5,13,1.0522702181652108,0.0003152916447714135,29.32330827067669
66,0,18,1.062335748697843,0.00028639618138424824,28.915662650602407
67,0,13,1.0771553618463114,0.00013131976362442546,29.09090909090909
68,4,23,1.0672760270020438,5.417118093174431e-05,28.571428571428573
69,5,14,1.0454596832870944,0.00038610038610038615,27.333333333333332
70,3,16,1.0502465694256113,0.003932277444019661,29.433962264150946
71,5,8,1.1344237637038983,0.00034542314335060453,28.571428571428573
72,6,14,1.0488934162390045,4.3888523151195965e-05,28.799999999999997
73,1,20,1.0837257962655964,0.0006302521008403361,28.571428571428573
74,2,4,1.1872342640707045,0.12089462018940157,25.0
75,5,3,1.1133811183454543,0.008261617900172116,28.88888888888889
