,year,weekofday,hour,count
232,2015,4,2,57120
233,2013,5,16,10836
234,2013,2,13,6885
235,2016,6,12,54620
236,2016,0,21,54146
237,2014,2,22,118268
238,2014,4,3,31825
239,2014,4,6,30825
240,2014,1,17,123512
241,2013,5,6,2456
242,2014,3,14,99140
243,2014,1,16,110338
244,2015,3,16,150903
245,2015,0,11,94404
246,2016,0,10,49048
247,2016,3,13,50479
248,2013,1,10,7467
249,2015,6,21,135985
250,2013,6,13,7156
251,2014,1,9,98470
252,2015,5,14,143520
253,2013,3,19,11596
254,2013,1,3,1884
255,2014,3,2,32556
256,2016,5,12,60185
257,2014,5,21,183927
258,2014,6,12,86095
259,2015,3,0,98176
260,2016,6,23,51028
261,2015,3,21,170974
262,2015,0,9,118810
263,2016,0,7,42420
264,2014,4,17,157363
265,2013,2,5,1885
266,2016,2,12,49439
267,2013,4,8,7685
268,2013,1,9,7629
269,2014,3,6,30545
270,2016,1,9,61601
271,2016,2,15,61455
272,2013,1,8,7492
273,2014,3,9,100666
274,2016,2,23,54328
275,2013,4,17,12679
276,2014,1,0,55369
277,2014,1,19,134099
278,2015,3,11,104522
279,2016,2,19,81812
280,2013,4,9,7809
281,2013,4,21,12146
282,2013,5,10,5851
283,2013,0,7,5148
284,2014,2,1,44906
285,2014,3,20,141737
286,2016,5,13,63056
287,2013,4,14,8896
288,2013,6,3,7547
289,2014,1,3,17122
290,2015,5,6,37980
291,2015,1,0,65034
292,2016,6,6,16192
293,2016,1,0,30050
294,2013,2,12,6688
295,2013,6,6,2338
296,2015,2,23,118555
297,2013,1,11,7172
298,2013,2,1,3559
299,2014,0,16,105775
300,2015,0,1,57787
301,2016,6,13,57434
302,2013,4,12,7573
303,2015,5,1,185192
304,2013,6,5,3285
305,2015,5,23,240683
306,2016,6,2,72087
307,2016,6,20,65688
308,2014,4,23,183107
309,2016,6,14,62927
310,2016,0,0,38183
311,2016,6,4,46718
312,2013,5,0,10465
313,2014,6,22,106706
314,2015,6,17,154345
315,2013,2,0,4821
316,2013,0,5,1856
317,2013,1,18,13012
318,2013,6,7,2651
319,2014,5,20,182243
320,2015,5,10,102566
321,2015,6,7,37231
322,2016,5,14,67877
323,2016,2,1,21636
324,2013,0,0,4459
325,2015,4,1,83763
326,2015,0,7,82289
327,2016,6,16,71159
328,2014,3,23,116783
329,2014,5,2,128645
330,2015,4,12,101349
331,2016,6,22,58203
332,2016,1,17,71853
333,2016,2,4,9201
334,2014,1,20,117555
335,2016,1,13,46714
336,2016,2,17,76445
337,2015,4,15,144891
338,2015,6,1,216310
339,2015,1,12,95073
340,2015,1,13,96930
341,2014,0,9,92841
342,2015,2,1,52596
343,2015,2,8,129548
344,2016,0,12,44779
345,2013,2,8,6984
346,2014,6,11,77572
347,2014,0,7,63177
348,2015,0,10,101718
349,2016,4,20,94795
350,2013,2,3,2045
351,2014,4,9,99591
352,2015,6,19,156608
353,2016,2,16,67152
354,2013,3,16,10497
355,2014,5,6,30537
356,2015,5,18,205695
357,2015,0,13,94328
358,2016,6,19,73816
359,2016,1,2,11658
360,2016,2,20,71892
361,2014,6,15,114204
362,2013,5,20,12122
363,2013,1,17,12571
364,2014,4,10,90125
365,2014,3,13,86723
366,2014,6,21,112940
367,2015,6,13,117704
368,2013,3,14,8276
369,2013,4,0,6131
370,2013,6,10,5248
371,2013,4,4,2325
372,2014,0,17,116919
373,2015,3,20,176665
374,2016,4,14,59454
375,2016,1,3,7935
376,2013,5,4,5229
377,2014,5,17,155172
378,2016,4,8,64824
379,2016,0,19,70014
380,2013,4,18,13446
381,2013,5,5,2948
382,2013,5,14,8479
383,2013,6,4,6137
384,2013,6,15,8634
385,2015,1,1,43402
386,2015,2,12,100409
387,2016,4,19,102905
388,2015,1,22,119759
389,2016,3,4,10580
390,2013,0,9,7559
391,2014,4,15,120981
392,2014,5,8,51416
393,2013,2,20,9065
394,2013,2,7,4772
395,2015,5,3,119230
396,2016,4,1,41068
397,2014,5,13,103156
398,2013,1,16,11204
399,2013,5,2,7969
400,2013,1,5,1826
401,2015,4,0,114291
402,2015,2,9,125399
403,2013,0,4,2158
404,2016,1,16,64822
405,2013,2,16,9725
406,2013,0,21,7708
407,2015,1,7,83385
408,2015,2,20,156215
409,2015,1,21,132861
410,2016,2,21,66843
411,2013,5,8,3960
412,2014,4,4,27492
413,2014,5,0,173725
414,2014,1,13,82327
415,2016,5,5,19985
416,2013,5,17,11251
417,2013,4,7,5191
418,2013,4,5,1889
419,2014,3,21,134253
420,2014,5,22,191352
421,2015,2,14,115762
422,2016,5,6,17013
423,2016,6,15,67944
424,2014,6,0,189083
425,2015,0,16,125475
426,2013,6,9,4126
427,2014,2,4,20156
428,2014,6,6,30172
429,2014,6,16,123102
430,2015,0,8,122941
431,2015,0,20,127140
432,2015,2,0,78014
433,2016,4,4,18403
434,2016,2,11,48639
435,2013,4,1,4494
436,2014,5,5,40506
437,2013,0,11,6931
438,2015,0,22,101303
439,2016,0,17,69317
440,2014,6,4,92508
441,2014,0,10,81587
442,2015,4,5,25849
443,2015,6,2,175064
444,2016,5,3,52076
445,2016,1,18,79835
446,2013,0,18,10804
447,2013,1,15,10178
448,2013,1,21,11074
449,2013,0,23,5466
450,2015,6,16,149719
451,2013,4,3,2631
452,2014,6,8,35823
453,2016,2,7,44061
454,2016,3,7,45687
455,2013,1,0,4507
456,2013,4,15,10257
457,2016,3,14,57973
458,2014,3,4,21812
459,2016,0,16,61870
460,2013,0,8,7612
461,2016,4,6,22225
462,2016,4,12,48006
463,2014,0,5,20231
464,2015,4,13,100228
465,2016,3,12,49601
466,2016,3,21,75587
467,2013,6,2,9161
468,2013,1,23,8295
469,2014,0,2,32568
470,2014,0,15,97276
471,2015,1,8,125910
472,2016,4,0,55285
473,2016,0,20,60051
474,2013,3,7,5057
475,2015,2,3,22583
476,2016,0,11,45479
477,2013,3,9,7287
478,2014,3,1,50591
479,2014,3,17,138012
480,2014,1,21,107840
481,2015,5,5,47278
482,2016,5,20,95417
483,2013,0,22,6741
484,2014,3,10,89479
485,2014,0,22,85402
486,2015,4,17,187796
487,2015,0,19,145968
488,2015,1,15,121570
489,2016,5,2,66074
490,2016,2,2,13009
491,2013,3,23,7367
492,2014,2,7,66275
493,2014,0,20,107938
494,2015,6,11,102873
495,2015,0,23,86019
496,2016,0,5,12039
497,2016,1,10,50863
498,2014,2,17,139667
499,2014,3,0,74693
500,2015,4,4,33255
501,2015,6,4,108839
502,2013,6,11,6036
503,2014,1,6,29308
504,2013,3,10,7181
505,2014,2,0,67288
506,2015,1,6,37002
507,2016,0,9,58717
508,2013,2,2,2578
509,2014,4,19,186662
510,2014,0,3,24535
511,2014,1,22,98672
512,2015,0,2,38272
513,2016,0,4,13028
514,2016,3,22,71397
515,2015,4,23,221035
516,2015,2,19,173377
517,2015,3,1,69289
518,2016,1,4,8342
519,2016,2,13,50822
520,2013,0,13,7360
521,2013,5,23,11710
522,2014,4,18,178098
523,2016,1,7,44908
524,2016,2,22,61946
525,2015,6,5,54779
526,2016,6,11,51629
527,2013,5,12,7061
528,2014,3,16,122623
529,2016,5,0,94518
530,2016,2,5,9430
531,2013,2,21,8224
532,2015,5,13,129458
533,2016,4,16,77971
534,2013,4,23,11509
535,2014,6,18,132636
536,2015,4,7,85016
537,2016,4,5,14287
538,2016,2,14,56848
539,2014,1,2,23354
540,2015,0,17,137711
541,2016,0,6,20271
542,2016,0,18,75527
543,2014,3,18,153272
544,2016,3,19,87791
545,2014,5,14,115658
546,2015,3,7,88651
547,2015,5,21,219418
548,2015,5,22,229551
549,2016,4,15,68755
550,2016,6,7,17295
551,2016,0,22,47639
552,2016,1,21,61501
553,2013,0,19,10188
554,2016,5,11,56249
555,2016,1,20,66741
556,2013,3,12,7201
557,2014,1,12,81276
558,2015,5,0,210225
559,2016,5,22,101373
560,2014,2,20,137182
561,2014,1,11,81025
562,2013,4,11,7466
563,2014,2,11,86242
564,2014,0,13,77423
565,2016,3,0,39965
566,2014,2,13,88181
567,2014,4,22,179599
568,2015,3,22,161819
569,2015,1,3,19661
570,2013,0,3,1979
571,2016,3,8,66292
572,2013,0,1,3067
573,2015,2,10,107739
574,2016,5,23,107211
575,2013,1,6,2630
576,2016,1,6,19704
577,2013,6,8,3090
578,2013,2,6,2496
579,2015,0,3,28671
580,2015,0,15,116954
581,2015,1,9,121667
582,2016,3,9,62303
583,2013,3,3,2029
584,2016,6,1,89967
585,2014,2,10,90596
586,2015,6,0,232461
587,2013,6,21,7446
588,2013,3,1,3411
589,2014,3,12,85184
590,2015,6,15,142120
591,2015,2,5,20138
592,2016,4,3,21816
593,2016,4,21,93849
594,2016,6,10,44039
595,2016,0,8,61769
596,2013,3,11,7009
597,2013,2,19,10270
598,2016,4,2,29213
599,2016,5,10,50511
