date,FALSE,TRUE,Grand Total
6/19/2015,0.1405,0.8595,1
6/20/2015,0.1344,0.8656,1
6/22/2015,0.1442,0.8558,1
6/23/2015,0.1359,0.8641,1
6/24/2015,0.1377,0.8623,1
6/25/2015,0.14,0.86,1
6/26/2015,0.1351,0.8649,1
6/27/2015,0.1221,0.8779,1
6/28/2015,0.1152,0.8848,1
6/29/2015,0.1387,0.8613,1
6/30/2015,0.1324,0.8676,1
7/1/2015,0.1196,0.8804,1
7/2/2015,0.1445,0.8555,1
7/3/2015,0.1418,0.8582,1
7/4/2015,0.1471,0.8529,1
7/5/2015,0.1392,0.8608,1
7/6/2015,0.1427,0.8573,1
7/7/2015,0.1401,0.8599,1
7/8/2015,0.1295,0.8705,1
7/9/2015,0.1349,0.8651,1
7/10/2015,0.1399,0.8601,1
7/11/2015,0.1398,0.8602,1
7/12/2015,0.1321,0.8679,1
7/13/2015,0.1617,0.8383,1
7/14/2015,0.1268,0.8732,1
7/15/2015,0.1319,0.8681,1
7/16/2015,0.1354,0.8646,1
7/17/2015,0.1419,0.8581,1
7/18/2015,0.1311,0.8689,1
7/19/2015,0.1204,0.8796,1
7/20/2015,0.1402,0.8598,1
7/21/2015,0.1316,0.8684,1
7/22/2015,0.1302,0.8698,1
7/23/2015,0.1274,0.8726,1
7/24/2015,0.1348,0.8652,1
7/25/2015,0.1292,0.8708,1
7/26/2015,0.1292,0.8708,1
7/27/2015,0.135,0.865,1
7/28/2015,0.1391,0.8609,1
7/29/2015,0.1283,0.8717,1
7/30/2015,0.1328,0.8672,1
7/31/2015,0.1405,0.8595,1
8/1/2015,0.1339,0.8661,1
8/2/2015,0.1261,0.8739,1
8/3/2015,0.1402,0.8598,1
8/4/2015,0.1277,0.8723,1
8/5/2015,0.1335,0.8665,1
8/6/2015,0.1304,0.8696,1
8/7/2015,0.1419,0.8581,1
8/8/2015,0.1305,0.8695,1
8/9/2015,0.125,0.875,1
8/10/2015,0.1381,0.8619,1
8/11/2015,0.1294,0.8706,1
8/12/2015,0.1371,0.8629,1
8/13/2015,0.1382,0.8618,1
8/14/2015,0.1418,0.8582,1
8/15/2015,0.1405,0.8595,1
8/16/2015,0.1301,0.8699,1
8/17/2015,0.1381,0.8619,1
8/18/2015,0.1381,0.8619,1
8/19/2015,0.1333,0.8667,1
8/20/2015,0.1394,0.8606,1
8/21/2015,0.1388,0.8612,1
8/22/2015,0.135,0.865,1
8/23/2015,0.1273,0.8727,1
8/24/2015,0.1348,0.8652,1
8/25/2015,0.1282,0.8718,1
