,weekofday,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,3,1040264,0.22419789310234436,0.07929523431139301,0.00010989010989010989,0.9900990099009901
1,0,882293,0.2226328112116333,0.07906425982575455,8.097165991902834e-05,0.99873417721519
2,5,1453750,0.21921673400580857,0.07474476620014835,9.090909090909092e-05,0.996774193548387
3,6,1338994,0.2187265155932543,0.07424219358746868,6.006006006006006e-05,0.9975
4,1,838542,0.2238508341102237,0.07962112258275493,0.0001282051282051282,0.9966666666666667
5,4,1131123,0.2231812636072698,0.07858270970969605,0.0001,0.9866666666666668
6,2,868662,0.22374733749116804,0.0791436350169006,5.1282051282051286e-05,0.9925558312655086
