,RateCodeID,icon,hour,count
249,5,,22,1752
250,4,wind,22,32
251,6,clear-night,22,42
252,6,wind,10,3
253,5,clear-night,18,15049
254,1,fog,2,12711
255,5,,16,1775
256,6,,12,5
257,4,snow,3,2
258,4,cloudy,11,101
259,3,rain,0,55
260,3,wind,10,65
261,3,wind,8,42
262,3,snow,20,5
263,1,partly-cloudy-day,19,224044
264,4,fog,7,12
265,1,cloudy,8,158729
266,5,rain,11,2806
267,3,fog,17,17
268,2,fog,2,23
269,4,fog,3,11
270,2,rain,8,450
271,3,clear-day,9,1181
272,2,clear-night,5,2538
273,3,cloudy,17,163
274,3,snow,18,19
275,5,fog,4,354
276,2,clear-day,15,7846
277,5,cloudy,23,3535
278,4,partly-cloudy-day,7,57
279,99,partly-cloudy-night,22,1
280,6,partly-cloudy-night,1,4
281,99,clear-night,22,1
282,5,cloudy,17,3711
283,4,clear-night,0,794
284,2,clear-night,17,1654
285,2,fog,7,147
286,6,partly-cloudy-night,19,10
287,2,partly-cloudy-day,9,620
288,1,partly-cloudy-day,6,19066
289,4,,19,42
290,1,cloudy,17,200769
291,5,clear-night,21,35272
292,5,clear-day,14,18869
293,2,fog,3,33
294,1,partly-cloudy-night,7,81670
295,6,fog,9,3
296,3,partly-cloudy-night,2,132
297,3,rain,3,37
298,1,wind,18,225725
299,2,clear-day,7,2380
300,5,wind,11,2412
301,2,wind,3,52
302,2,cloudy,22,242
303,1,,15,79858
304,4,,16,46
305,2,fog,11,68
306,2,snow,0,15
307,6,rain,6,3
308,4,,17,50
309,2,clear-night,6,3140
310,3,clear-night,4,737
311,6,rain,4,6
312,6,partly-cloudy-night,22,8
313,3,fog,13,12
314,99,rain,16,4
315,4,clear-day,8,350
316,3,wind,6,38
317,6,partly-cloudy-night,3,1
318,5,partly-cloudy-night,6,2001
319,4,fog,0,6
320,2,cloudy,23,264
321,6,clear-day,17,14
322,1,wind,20,150041
323,5,partly-cloudy-night,17,996
324,1,clear-day,15,1426746
325,3,partly-cloudy-day,11,561
326,6,wind,16,4
327,5,snow,12,373
328,1,snow,13,12410
329,1,,19,110788
330,4,cloudy,13,60
331,5,clear-day,18,19773
332,5,clear-day,10,27887
333,1,cloudy,7,88827
334,4,wind,15,70
335,4,,4,19
336,2,cloudy,11,630
337,1,partly-cloudy-night,1,223670
338,5,cloudy,16,3556
339,5,fog,16,484
340,5,snow,0,207
341,3,snow,16,43
342,2,snow,6,20
343,2,snow,8,48
344,1,partly-cloudy-night,0,119177
345,6,partly-cloudy-night,21,9
346,5,wind,17,3975
347,6,clear-day,19,22
348,1,partly-cloudy-day,9,160799
349,3,fog,12,18
350,3,,3,12
351,1,rain,11,103874
352,1,rain,5,34321
353,6,clear-night,0,37
