,weekofday,hour,icon,count
206,0,20,clear-night,136118
207,5,5,wind,1204
208,1,17,rain,34911
209,2,21,rain,35683
210,4,16,snow,3534
211,4,19,snow,4403
212,2,3,,977
213,3,14,rain,21331
214,0,4,clear-night,47858
215,2,13,partly-cloudy-day,70074
216,3,2,wind,2122
217,3,18,partly-cloudy-night,22911
218,0,3,partly-cloudy-night,5931
219,3,17,partly-cloudy-night,8149
220,2,15,clear-day,180039
221,0,5,partly-cloudy-night,11401
222,2,19,wind,30017
223,6,2,cloudy,17307
224,1,3,partly-cloudy-night,4670
225,2,4,fog,1275
226,6,8,partly-cloudy-day,29076
227,0,23,partly-cloudy-night,47664
228,3,19,partly-cloudy-night,54432
229,0,7,cloudy,13148
230,5,9,fog,3241
231,4,10,snow,7577
232,3,7,rain,10092
233,3,5,cloudy,5595
234,6,6,rain,3021
235,4,11,wind,14875
236,0,7,partly-cloudy-night,17436
237,4,14,wind,18520
238,1,4,snow,346
239,1,6,clear-night,46700
240,2,16,clear-day,137462
241,6,9,clear-day,124265
242,6,11,partly-cloudy-day,78118
243,6,17,rain,18833
244,6,8,,3622
245,4,6,clear-night,55474
246,3,19,fog,1431
247,4,5,snow,667
248,4,6,rain,6343
249,1,0,partly-cloudy-night,5901
250,4,4,cloudy,7931
251,2,6,wind,2724
252,2,8,wind,6363
253,0,19,clear-day,109222
254,2,5,cloudy,5459
255,4,4,wind,2598
256,0,16,partly-cloudy-day,75393
257,4,18,wind,23136
258,0,22,cloudy,22206
259,1,9,wind,13754
260,1,15,partly-cloudy-day,32095
261,6,22,rain,8945
262,4,15,,6014
263,6,7,clear-day,37314
264,0,22,clear-night,137046
265,1,2,clear-night,34087
266,3,7,partly-cloudy-day,20198
267,3,3,wind,1705
268,4,7,partly-cloudy-night,14528
269,1,23,wind,10950
270,0,0,partly-cloudy-night,10048
271,0,22,,5029
272,2,13,,15911
273,1,2,snow,4
274,4,1,partly-cloudy-night,28091
275,6,21,wind,16561
276,4,13,partly-cloudy-day,74782
277,0,22,rain,19250
278,2,19,partly-cloudy-day,24690
279,2,23,,19546
280,5,15,clear-day,255025
281,6,10,clear-day,110211
282,5,23,cloudy,28708
283,5,22,,29776
284,5,3,wind,2944
285,1,15,fog,2836
286,3,6,partly-cloudy-night,5827
287,5,9,wind,8998
288,5,13,snow,2662
289,4,18,snow,4625
290,2,2,clear-night,46157
291,1,12,wind,9105
292,1,5,rain,4567
293,2,16,fog,6656
294,6,6,,2828
295,5,13,clear-day,161620
296,3,16,cloudy,41564
297,1,7,partly-cloudy-night,13121
298,5,16,,23832
299,6,2,snow,2678
300,4,23,fog,4269
301,6,12,,10891
302,1,6,partly-cloudy-day,2972
303,1,0,clear-night,131157
304,5,5,clear-night,55309
305,0,2,fog,229
306,1,10,wind,10030
307,4,20,rain,36159
308,5,3,snow,1313
309,6,11,cloudy,15166
310,3,17,cloudy,51096
311,4,11,rain,9895
312,0,10,cloudy,16649
313,6,19,snow,11529
314,1,23,cloudy,21991
315,4,19,partly-cloudy-day,41303
316,1,19,fog,3464
317,6,1,snow,3096
318,1,11,partly-cloudy-day,76711
319,4,11,cloudy,31604
320,5,12,clear-day,199790
321,3,9,wind,14571
322,2,20,rain,32973
323,2,7,rain,19461
324,1,18,partly-cloudy-day,42384
325,1,21,partly-cloudy-night,25174
326,4,18,rain,35871
327,2,20,wind,26101
328,0,0,snow,2654
329,5,3,fog,3779
330,4,5,wind,1886
331,4,19,,13257
332,2,8,partly-cloudy-day,90396
333,0,7,clear-night,28404
334,2,19,partly-cloudy-night,46465
335,3,3,snow,286
336,4,14,fog,4001
337,0,20,rain,16112
338,2,16,rain,37415
339,3,3,partly-cloudy-night,5838
340,2,21,fog,3437
341,5,12,snow,2602
342,0,15,rain,11229
343,6,19,clear-night,73453
344,2,16,partly-cloudy-day,83098
345,3,4,cloudy,7048
346,4,8,rain,13849
347,4,7,fog,3686
348,5,21,partly-cloudy-night,37862
349,5,0,snow,2987
350,0,15,clear-day,177193
351,5,14,partly-cloudy-day,114184
352,2,13,clear-day,108222
353,1,15,,10737
354,6,5,fog,3397
355,4,16,,6733
356,4,17,,8033
357,4,8,clear-day,141998
358,0,19,clear-night,72567
359,2,19,clear-night,66246
360,2,8,fog,10224
361,1,18,snow,576
362,4,1,rain,7873
363,6,13,clear-day,129324
364,6,16,clear-day,170982
365,5,17,rain,40778
366,5,7,partly-cloudy-night,6825
367,3,23,snow,355
368,0,9,partly-cloudy-day,31012
369,4,21,snow,3967
370,3,8,partly-cloudy-day,83133
371,4,17,clear-night,53230
372,6,18,rain,16040
373,4,2,fog,940
374,0,20,wind,10578
375,3,13,snow,3306
376,0,19,wind,29013
377,4,18,partly-cloudy-day,47975
378,0,6,partly-cloudy-night,3341
379,0,9,fog,7237
380,4,2,wind,2688
381,2,10,partly-cloudy-day,42188
382,3,8,wind,4907
383,1,19,,15877
384,0,5,fog,1148
385,4,22,fog,1784
386,3,0,partly-cloudy-night,22803
387,0,8,fog,5329
388,2,11,fog,2316
389,2,5,partly-cloudy-night,7971
390,5,18,clear-night,137180
391,1,7,partly-cloudy-day,21750
392,0,10,snow,5266
393,0,11,snow,5012
394,0,20,,6107
395,6,3,clear-night,236724
396,1,4,partly-cloudy-night,7311
397,2,20,clear-night,160241
398,5,10,fog,2904
399,6,14,snow,6376
400,5,14,rain,20115
401,3,2,cloudy,12681
