,weekofday,hour,icon,count
1036,3,20,snow,906
1037,3,8,rain,24507
1038,3,4,fog,825
1039,3,9,clear-day,219829
1040,1,17,clear-day,71977
1041,1,16,cloudy,20053
1042,5,1,rain,19595
1043,1,6,partly-cloudy-night,5543
1044,5,18,,27773
1045,4,4,clear-night,50609
1046,1,0,wind,5615
1047,4,16,wind,24872
1048,6,22,wind,12522
1049,1,7,cloudy,16634
1050,5,17,snow,5351
1051,1,0,rain,10907
1052,1,18,,13616
1053,5,6,fog,1415
1054,0,8,,6262
1055,3,22,rain,26218
1056,3,12,wind,16812
1057,5,6,partly-cloudy-day,4426
1058,5,11,,16065
1059,1,6,,730
1060,1,12,clear-day,158934
1061,6,8,wind,3163
1062,3,22,partly-cloudy-night,59237
1063,2,22,cloudy,22863
1064,6,11,snow,778
1065,0,6,clear-day,18489
1066,0,16,,6053
1067,6,8,cloudy,6062
1068,6,4,fog,5400
1069,3,2,clear-night,60475
1070,3,11,snow,2410
1071,4,20,partly-cloudy-day,60849
1072,3,10,rain,14515
1073,5,11,cloudy,32031
1074,6,3,rain,16780
1075,2,17,clear-night,58133
1076,3,7,wind,3331
1077,3,15,partly-cloudy-day,45822
1078,2,7,,8171
1079,5,20,rain,43587
1080,6,6,wind,4700
1081,6,7,wind,4595
1082,0,12,snow,6917
1083,0,6,partly-cloudy-day,2978
1084,1,9,,9402
1085,1,8,,4809
1086,5,10,clear-day,141457
1087,6,6,clear-night,43767
1088,1,20,partly-cloudy-night,60350
1089,3,14,clear-day,106973
1090,3,8,fog,7988
1091,3,14,fog,2105
1092,1,12,partly-cloudy-day,31273
1093,5,17,cloudy,27458
1094,6,18,wind,32049
1095,2,3,partly-cloudy-night,2822
1096,4,20,snow,4357
1097,4,15,wind,20066
1098,6,17,cloudy,5468
1099,5,8,fog,2910
1100,5,5,fog,1693
1101,0,18,partly-cloudy-night,5891
1102,6,8,clear-day,58687
1103,2,19,cloudy,42521
1104,6,20,wind,17870
1105,3,10,partly-cloudy-day,49770
1106,1,3,wind,1914
1107,2,4,cloudy,5502
1108,5,12,rain,11980
1109,3,2,snow,389
1110,1,0,snow,14
1111,6,3,,10613
1112,5,6,clear-night,46228
1113,3,20,partly-cloudy-night,72799
1114,6,17,partly-cloudy-day,118596
1115,6,7,partly-cloudy-day,13431
1116,5,9,,11911
1117,2,5,,926
1118,6,5,,4050
1119,4,23,partly-cloudy-night,117415
1120,1,19,clear-day,111665
1121,5,19,wind,38265
1122,3,20,wind,44221
1123,5,8,rain,8576
1124,2,2,snow,698
1125,4,4,fog,411
1126,5,15,,22479
1127,6,9,rain,8967
1128,0,4,snow,791
1129,2,10,clear-day,152133
1130,0,23,rain,14145
1131,3,20,partly-cloudy-day,42538
1132,6,8,rain,5800
1133,4,19,wind,23361
1134,4,22,,12343
1135,0,9,clear-day,201059
1136,6,1,clear-night,299236
1137,0,12,wind,4982
1138,5,16,partly-cloudy-day,90756
1139,3,11,wind,13493
1140,3,1,fog,3385
1141,4,21,partly-cloudy-night,43557
1142,6,22,,19982
1143,2,6,fog,2305
1144,0,7,snow,3958
1145,5,5,partly-cloudy-night,25216
1146,5,18,rain,31098
1147,1,14,wind,16165
1148,0,2,rain,6550
1149,5,19,rain,29835
1150,2,1,snow,525
1151,0,2,snow,1809
1152,6,4,,7998
1153,4,21,,12300
1154,4,5,partly-cloudy-night,17093
1155,2,5,clear-night,28975
1156,5,19,clear-night,88587
1157,1,22,partly-cloudy-night,55206
1158,5,22,rain,25751
1159,2,15,,20929
1160,4,13,clear-day,125591
1161,6,19,clear-day,132923
1162,0,17,clear-day,78369
1163,6,22,partly-cloudy-night,40787
1164,1,20,cloudy,20670
1165,3,6,clear-day,19001
1166,3,19,partly-cloudy-day,50626
1167,5,6,,4946
1168,6,15,clear-day,216864
1169,4,23,cloudy,62050
1170,6,16,fog,1826
1171,6,19,partly-cloudy-night,41344
1172,1,13,snow,948
1173,3,6,rain,8012
1174,0,8,snow,8848
1175,4,9,,2576
1176,4,18,clear-day,207287
1177,1,15,wind,20190
1178,0,4,fog,191
1179,5,23,fog,9202
1180,4,18,clear-night,160600
1181,1,7,snow,1835
1182,0,17,,6956
1183,2,14,cloudy,26564
1184,3,13,rain,15510
1185,0,7,,1517
1186,1,11,rain,24498
1187,5,14,wind,17407
1188,1,22,,12132
1189,6,11,,9807
1190,3,11,cloudy,31308
1191,5,3,clear-night,217254
1192,3,1,clear-night,95558
1193,0,21,rain,18656
1194,6,19,partly-cloudy-day,23036
1195,3,12,fog,1743
1196,0,17,snow,3773
1197,3,15,snow,2087
1198,2,2,partly-cloudy-night,12436
1199,6,10,partly-cloudy-day,51060
1200,2,21,clear-night,243376
1201,6,20,partly-cloudy-night,54117
1202,3,11,clear-day,121452
1203,3,19,clear-night,82300
1204,2,4,rain,3558
1205,5,21,snow,670
1206,5,17,partly-cloudy-night,3974
1207,6,6,snow,540
1208,0,20,fog,4867
1209,6,2,fog,3351
1210,5,1,wind,7497
1211,4,22,partly-cloudy-night,57230
1212,4,18,fog,5680
1213,4,15,snow,3153
1214,4,14,,4956
1215,4,5,clear-night,30772
1216,2,9,rain,20725
1217,1,16,snow,1892
1218,0,23,fog,1637
1219,4,9,clear-day,216888
1220,4,0,clear-night,222223
1221,5,4,rain,13440
1222,1,2,fog,928
1223,3,12,partly-cloudy-day,18265
1224,6,16,,16923
1225,0,10,wind,4009
1226,4,13,,1935
1227,5,9,snow,125
1228,1,1,cloudy,10304
1229,2,16,cloudy,25572
1230,0,20,clear-day,12969
1231,0,19,partly-cloudy-day,20455
1232,5,0,partly-cloudy-night,21398
1233,1,21,,13550
1234,2,10,,12385
1235,6,16,snow,8329
1236,2,8,cloudy,32185
1237,0,4,partly-cloudy-night,10514
1238,5,7,cloudy,4494
1239,5,10,rain,15544
1240,6,13,,13151
1241,2,5,fog,1261
1242,6,4,wind,11456
1243,0,9,,6083
1244,0,14,,5315
1245,1,21,clear-night,219005
1246,2,9,wind,7876
1247,5,18,partly-cloudy-day,50716
1248,4,23,wind,14613
1249,6,4,snow,1653
1250,6,9,,6385
1251,4,7,rain,10148
1252,5,20,partly-cloudy-night,91574
1253,0,17,cloudy,17967
1254,5,2,cloudy,38651
1255,0,18,clear-night,110844
1256,1,10,cloudy,22493
1257,3,4,partly-cloudy-night,7220
1258,5,21,,28484
1259,5,21,rain,41984
1260,6,17,partly-cloudy-night,4305
1261,6,18,partly-cloudy-night,7982
1262,0,22,fog,2095
1263,5,4,clear-night,140424
1264,1,14,clear-day,95345
1265,0,11,wind,3997
1266,2,6,snow,227
1267,3,8,snow,3140
1268,5,0,wind,7700
1269,4,17,snow,4122
1270,4,16,clear-day,208228
1271,1,10,partly-cloudy-day,40757
1272,5,20,,28408
1273,3,0,wind,8477
1274,6,7,rain,4619
1275,5,20,partly-cloudy-day,43336
1276,5,7,wind,1789
1277,2,12,fog,2237
1278,3,18,clear-day,199145
1279,1,8,snow,1258
1280,2,9,,14444
