,weekofday,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,3,312161,0.22709637856871173,0.07932857969666372,0.00014814814814814815,0.9824561403508771
1,0,273343,0.2261473456351575,0.07979235548060791,0.00017699115044247788,0.9836065573770492
2,5,475739,0.22184714646952866,0.07421891267939933,0.00010256410256410257,0.98
3,6,429309,0.22162956669535055,0.07405085698977293,9.80392156862745e-05,0.9895238095238096
4,1,271593,0.2271342796675811,0.07989600816262,0.00013513513513513514,0.994095238095238
5,4,359042,0.22663487936995397,0.07894591591954071,0.00010526315789473685,0.9850746268656716
6,2,286565,0.22705678922845374,0.07940727425750123,0.00015625,0.9925558312655086
