,hour,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,7,76250,0.20961262791849586,0.07623313999048095,0.00010256410256410257,0.9619047619047618
1,15,82521,0.21547802953625433,0.07527151580216622,0.00010526315789473685,0.9836065573770492
2,11,81685,0.21565115788983355,0.07563847433501063,0.00018867924528301886,0.975609756097561
3,3,56095,0.2320714951855147,0.07988242360412103,0.00020408163265306123,0.9777777777777777
4,8,96374,0.21232135482575354,0.07660913327623843,0.00015384615384615385,0.975609756097561
5,22,169979,0.23086031494795944,0.07575870831111454,9.80392156862745e-05,0.9836065573770492
6,16,92399,0.22451356494984864,0.07883726945905553,0.00017699115044247788,0.967741935483871
7,0,133501,0.23255617317348443,0.07677048104246406,0.00020202020202020202,0.9866666666666667
8,5,25498,0.22110630885446284,0.08248610928032424,0.00037037037037037035,0.9895238095238096
9,18,141413,0.22959991479201508,0.0783565205364133,0.00014492753623188405,0.98
10,17,106449,0.22682019020153715,0.07857705490570166,0.00011834319526627219,0.98
11,6,46287,0.2091774044017118,0.07726037485468851,0.0002631578947368421,0.9789473684210527
12,19,166429,0.2318153024465638,0.07919732833749313,0.0002061855670103093,0.9824561403508771
13,23,163196,0.23067331038454134,0.07597123222761658,0.00020202020202020202,0.9851428571428571
14,9,102943,0.21465657937900615,0.07536779176645131,0.00014705882352941178,0.9900990099009901
15,1,101673,0.2337687285676034,0.0772043591164269,0.00022222222222222223,0.994095238095238
16,20,162526,0.23005964545388743,0.07675810058550257,0.00023255813953488373,0.9850746268656716
17,10,88775,0.2157601194180453,0.07530101463688726,0.00014705882352941178,0.975609756097561
18,4,36383,0.2316250981595989,0.08673589104461188,0.00017580872011251758,0.98
19,12,79588,0.2146787137498669,0.07454101398112858,0.00015625,0.9795698924731182
20,13,78067,0.21449826043003675,0.07594619363777542,0.00012048192771084338,0.9803921568627451
21,14,79280,0.2147411203275065,0.07586290850526393,0.00017543859649122808,0.975609756097561
22,21,165031,0.2311636222874216,0.07664473646129752,0.00013513513513513514,0.98
23,2,75410,0.23375255105286008,0.07871766301481391,0.0002777777777777778,0.9782608695652174
