,date,not_tip,count(date)
139,2015-05-10 00:00:00,False,2842
140,2015-05-18 00:00:00,False,1978
141,2015-05-22 00:00:00,False,2414
142,2015-11-02 00:00:00,False,1574
143,2013-10-01 00:00:00,False,1063
144,2014-05-22 00:00:00,True,11364
145,2014-12-12 00:00:00,True,16183
146,2015-01-01 00:00:00,False,2903
147,2016-02-18 00:00:00,False,2533
148,2016-02-23 00:00:00,False,2115
149,2016-06-04 00:00:00,False,2754
150,2014-08-11 00:00:00,True,1860
151,2014-12-22 00:00:00,True,11170
152,2015-01-23 00:00:00,False,2410
153,2015-03-25 00:00:00,True,12893
154,2015-04-07 00:00:00,True,13014
155,2015-06-07 00:00:00,False,2862
156,2015-08-25 00:00:00,False,1652
157,2015-10-10 00:00:00,False,2649
158,2016-01-28 00:00:00,True,11625
159,2016-01-30 00:00:00,False,2834
160,2016-02-06 00:00:00,True,21434
161,2016-04-20 00:00:00,False,2102
162,2016-04-29 00:00:00,True,16490
163,2014-05-07 00:00:00,True,9914
164,2014-08-22 00:00:00,True,13471
165,2014-09-28 00:00:00,True,16565
166,2014-12-16 00:00:00,False,15705
167,2014-12-20 00:00:00,True,22828
168,2015-02-21 00:00:00,True,2801
169,2015-04-24 00:00:00,True,16367
170,2015-04-27 00:00:00,False,1899
171,2015-07-19 00:00:00,False,2893
172,2015-08-14 00:00:00,True,14626
173,2016-01-16 00:00:00,False,2858
174,2016-04-14 00:00:00,False,2223
175,2014-03-25 00:00:00,False,12670
176,2014-04-16 00:00:00,False,17317
177,2014-04-22 00:00:00,True,9121
178,2014-09-17 00:00:00,True,10639
179,2014-10-06 00:00:00,True,865
180,2014-11-19 00:00:00,False,16219
181,2015-06-29 00:00:00,False,1848
182,2015-09-06 00:00:00,False,2574
183,2015-12-05 00:00:00,True,4349
184,2016-04-10 00:00:00,False,2856
185,2013-10-01 00:00:00,True,447
186,2014-01-20 00:00:00,False,4
187,2014-11-26 00:00:00,False,17936
188,2014-12-01 00:00:00,False,16190
189,2015-04-27 00:00:00,True,12125
190,2015-11-11 00:00:00,True,13275
191,2016-03-13 00:00:00,True,17300
192,2016-05-25 00:00:00,True,11324
193,2014-03-03 00:00:00,False,13941
194,2014-03-14 00:00:00,True,7917
195,2014-09-26 00:00:00,False,19795
196,2015-01-27 00:00:00,False,687
197,2015-05-13 00:00:00,False,2121
198,2015-08-26 00:00:00,True,11678
199,2015-09-29 00:00:00,False,88
200,2015-11-25 00:00:00,True,12564
201,2016-03-16 00:00:00,False,276
202,2016-05-30 00:00:00,True,13665
203,2016-06-21 00:00:00,True,10292
204,2014-04-03 00:00:00,False,13774
205,2014-04-10 00:00:00,False,17517
206,2014-06-03 00:00:00,True,9580
207,2014-07-04 00:00:00,False,19449
208,2014-09-02 00:00:00,False,15552
209,2014-11-01 00:00:00,False,30743
210,2015-03-11 00:00:00,False,2205
211,2015-08-03 00:00:00,True,11081
212,2015-11-21 00:00:00,False,3056
213,2016-06-28 00:00:00,False,1590
214,2014-06-09 00:00:00,True,9506
215,2014-07-10 00:00:00,False,15984
216,2014-07-12 00:00:00,False,24325
217,2014-07-24 00:00:00,False,15708
218,2014-08-15 00:00:00,False,19576
219,2014-08-18 00:00:00,False,16047
220,2014-08-28 00:00:00,True,11568
221,2014-12-06 00:00:00,True,4930
222,2015-02-17 00:00:00,False,1886
223,2015-03-18 00:00:00,True,13411
224,2015-05-27 00:00:00,True,12024
225,2015-12-07 00:00:00,False,1794
226,2016-05-01 00:00:00,False,2660
227,2014-01-11 00:00:00,False,1
228,2014-05-19 00:00:00,True,9095
229,2014-09-03 00:00:00,False,15917
230,2015-06-17 00:00:00,False,119
231,2016-01-27 00:00:00,True,10467
232,2016-02-15 00:00:00,True,14198
233,2016-04-24 00:00:00,False,2714
234,2016-05-31 00:00:00,False,1619
235,2014-06-26 00:00:00,True,11457
236,2014-07-07 00:00:00,False,15912
237,2014-07-14 00:00:00,True,10097
238,2014-09-01 00:00:00,True,11508
239,2014-12-26 00:00:00,True,8319
240,2016-05-12 00:00:00,True,12247
241,2014-04-17 00:00:00,True,11011
242,2014-04-27 00:00:00,False,23398
243,2014-05-05 00:00:00,False,16069
244,2014-09-14 00:00:00,True,17179
245,2014-10-28 00:00:00,True,10202
246,2015-06-11 00:00:00,True,13943
247,2015-06-18 00:00:00,True,12802
248,2015-08-09 00:00:00,False,2604
249,2015-11-18 00:00:00,False,1823
250,2016-02-09 00:00:00,False,1859
251,2016-03-01 00:00:00,False,2138
252,2016-03-10 00:00:00,True,13119
253,2014-05-03 00:00:00,True,17258
254,2014-10-05 00:00:00,True,15811
255,2015-01-05 00:00:00,False,1857
256,2015-02-26 00:00:00,True,13423
257,2015-07-01 00:00:00,False,102
258,2015-11-07 00:00:00,False,2980
259,2015-11-11 00:00:00,False,1896
260,2016-03-29 00:00:00,False,2166
261,2014-02-13 00:00:00,True,49
262,2014-06-29 00:00:00,True,14274
263,2014-09-16 00:00:00,False,14942
264,2014-12-25 00:00:00,False,22312
265,2015-03-02 00:00:00,True,10150
266,2015-04-16 00:00:00,True,13998
267,2015-06-27 00:00:00,False,3099
268,2015-07-17 00:00:00,False,2131
269,2016-01-01 00:00:00,True,19137
270,2016-01-05 00:00:00,True,11388
271,2016-05-27 00:00:00,True,13966
272,2016-06-09 00:00:00,False,1893
273,2014-04-05 00:00:00,True,10910
274,2014-06-13 00:00:00,True,12296
275,2014-07-18 00:00:00,False,18891
276,2014-07-20 00:00:00,False,21984
277,2014-10-10 00:00:00,True,14562
278,2015-09-23 00:00:00,True,5836
279,2015-12-28 00:00:00,False,1773
280,2016-04-04 00:00:00,False,2124
281,2016-04-22 00:00:00,False,2479
282,2014-10-12 00:00:00,False,12010
283,2014-11-07 00:00:00,True,14461
284,2015-07-21 00:00:00,False,1822
285,2015-10-11 00:00:00,True,17704
286,2016-01-20 00:00:00,True,12074
287,2016-03-16 00:00:00,True,1592
288,2014-01-28 00:00:00,False,12
289,2014-03-06 00:00:00,False,14126
290,2014-07-22 00:00:00,False,14888
291,2014-09-18 00:00:00,False,16286
292,2014-10-13 00:00:00,False,16079
293,2015-04-15 00:00:00,False,2052
294,2015-10-01 00:00:00,True,12615
295,2016-03-26 00:00:00,True,20025
296,2014-02-23 00:00:00,False,15779
297,2015-02-08 00:00:00,False,2633
298,2015-02-14 00:00:00,False,253
299,2015-08-15 00:00:00,True,19589
300,2015-08-21 00:00:00,False,2486
301,2015-08-29 00:00:00,True,3923
302,2015-10-16 00:00:00,False,2249
303,2015-10-23 00:00:00,True,14991
304,2016-01-07 00:00:00,False,2007
305,2016-05-21 00:00:00,True,21557
306,2014-03-11 00:00:00,False,12070
307,2014-08-19 00:00:00,False,14578
