,date,not_tip,count(date)
139,2015-11-18 00:00:00,False,1679
140,2016-02-09 00:00:00,False,1704
141,2016-03-01 00:00:00,False,1973
142,2016-03-10 00:00:00,True,12048
143,2015-01-05 00:00:00,False,1671
144,2015-02-26 00:00:00,True,12401
145,2015-07-01 00:00:00,False,88
146,2015-11-07 00:00:00,False,2714
147,2015-11-11 00:00:00,False,1725
148,2016-03-29 00:00:00,False,1985
149,2015-03-02 00:00:00,True,9298
150,2015-04-16 00:00:00,True,12859
151,2015-06-27 00:00:00,False,2803
152,2015-07-17 00:00:00,False,1949
153,2016-01-01 00:00:00,True,16738
154,2016-01-05 00:00:00,True,10482
155,2016-05-27 00:00:00,True,12756
156,2016-06-09 00:00:00,False,1741
157,2015-09-23 00:00:00,True,5097
158,2015-12-28 00:00:00,False,1578
159,2016-04-04 00:00:00,False,1957
160,2016-04-22 00:00:00,False,2274
161,2015-07-21 00:00:00,False,1646
162,2015-10-11 00:00:00,True,16124
163,2016-01-20 00:00:00,True,11275
164,2016-03-16 00:00:00,True,1312
165,2015-04-15 00:00:00,False,1866
166,2015-10-01 00:00:00,True,11672
167,2016-03-26 00:00:00,True,18506
168,2015-02-08 00:00:00,False,2306
169,2015-02-14 00:00:00,False,226
170,2015-08-15 00:00:00,True,17823
171,2015-08-21 00:00:00,False,2280
172,2015-08-29 00:00:00,True,3622
173,2015-10-16 00:00:00,False,2069
174,2015-10-23 00:00:00,True,13907
175,2016-01-07 00:00:00,False,1811
176,2016-05-21 00:00:00,True,20103
177,2015-06-03 00:00:00,True,11214
178,2015-11-27 00:00:00,True,10041
179,2015-12-08 00:00:00,False,1641
180,2016-06-26 00:00:00,False,2328
181,2015-05-11 00:00:00,True,10684
182,2015-12-05 00:00:00,False,551
183,2015-12-24 00:00:00,False,2257
184,2016-01-12 00:00:00,True,10420
185,2016-02-12 00:00:00,False,2421
186,2015-04-04 00:00:00,False,3013
187,2015-05-03 00:00:00,False,2488
188,2015-11-08 00:00:00,False,2331
189,2015-12-15 00:00:00,False,1767
190,2016-03-26 00:00:00,False,2965
191,2016-05-19 00:00:00,True,12041
192,2015-02-04 00:00:00,True,8579
193,2015-05-25 00:00:00,True,13349
194,2016-02-29 00:00:00,False,2029
195,2015-01-21 00:00:00,False,1657
196,2015-04-22 00:00:00,True,11745
197,2015-10-06 00:00:00,False,1579
198,2016-05-17 00:00:00,True,11073
199,2016-05-22 00:00:00,False,2135
200,2015-12-22 00:00:00,True,11026
201,2016-01-04 00:00:00,False,1775
202,2016-06-08 00:00:00,True,10289
203,2015-01-26 00:00:00,False,896
204,2015-09-02 00:00:00,False,1729
205,2016-05-18 00:00:00,False,1560
206,2016-05-20 00:00:00,False,2062
207,2016-06-13 00:00:00,True,9557
208,2015-05-09 00:00:00,True,19588
209,2015-05-20 00:00:00,True,12249
210,2015-06-13 00:00:00,True,18707
211,2015-09-07 00:00:00,False,1745
