,icon,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,fog,69502,0.21944628438711825,0.07695310189107755,0.0001923076923076923,0.96
1,partly-cloudy-day,848199,0.21738634026753698,0.07730832162521163,5.747126436781609e-05,0.9900990099009901
2,clear-day,1994001,0.21631048995547303,0.07679306977497358,0.00010256410256410257,0.9975
3,rain,439377,0.22378417085524857,0.07864666828166281,8.264462809917356e-05,0.98989898989899
4,cloudy,404299,0.2228157127195715,0.0778995598886607,9.615384615384615e-05,0.99873417721519
5,clear-night,2686210,0.22578247818419023,0.07736485382972783,5.1282051282051286e-05,0.9968888888888888
6,wind,400817,0.22382997775541003,0.07809185201685527,6.84931506849315e-05,0.9876543209876543
7,partly-cloudy-night,648903,0.22533696103878073,0.07738669493242117,6.006006006006006e-05,0.9943181818181818
8,snow,62320,0.22334707183592067,0.07885041111322429,0.0001923076923076923,0.9836065573770492
