,hour,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,7,240823,0.20865234617661887,0.07611769410049161,0.00010256410256410257,0.9836065573770492
1,15,248698,0.2144101548265188,0.0759744728875478,0.00010526315789473685,0.9965156794425087
2,11,251417,0.2133153198961747,0.07585791956471949,0.00010989010989010989,0.9975
3,3,188274,0.2265006699951512,0.0800617387347435,5.1282051282051286e-05,0.9777777777777777
4,8,299935,0.21061415951159093,0.07568701768602101,0.00015384615384615385,0.975609756097561
5,22,533893,0.22704354443187558,0.07588753157648734,9.80392156862745e-05,0.9836065573770492
6,16,272654,0.22273916299581756,0.07928930863847206,0.0001092896174863388,0.9789473684210527
7,0,448311,0.22783667212154152,0.0767264631398689,0.00011235955056179776,0.9966666666666667
8,5,106569,0.21473480504312303,0.08114505998312138,8.333333333333333e-05,0.99873417721519
9,18,413374,0.22754252934417984,0.0784977524978302,0.00014492753623188405,0.9833333333333333
10,17,309726,0.22521302506438826,0.07929130471448931,6.006006006006006e-05,0.9836065573770492
11,6,160869,0.20700097611137108,0.07732870216092518,0.00019047619047619048,0.9789473684210527
12,19,496013,0.22877499473765872,0.07901848754992649,6.84931506849315e-05,0.9836065573770492
13,23,507069,0.2268932480434478,0.07608582417407068,0.00014285714285714287,0.9808695652173912
14,9,320389,0.21211232454947088,0.07501180104396656,0.00014492753623188405,0.9900990099009901
15,1,347310,0.22872602201942155,0.07747926536182105,0.0001941747572815534,0.996774193548387
16,20,501137,0.2265646065804452,0.07694786541724247,0.00018867924528301886,0.98989898989899
17,10,276551,0.21336875940370914,0.07556596529287872,8.264462809917356e-05,0.98
18,4,134098,0.22356182428758195,0.08412055011542587,0.00017580872011251758,0.9935
19,12,245511,0.21318705194614174,0.07523047917784546,5.747126436781609e-05,0.9900990099009901
20,13,239181,0.21330006748387598,0.07579732985016957,8.097165991902834e-05,0.982608695652174
21,14,240314,0.2133971132987216,0.07581791908466869,9.090909090909092e-05,0.98
22,21,515187,0.22709158260095863,0.07644136620309129,0.0001,0.9943181818181818
23,2,256325,0.22837268630843915,0.0785460683882143,0.00016877637130801687,0.9955555555555555
