,Pick_up_hour,avg(Efficiency),min(Efficiency),max(Efficiency),avg(Fare_amount),avg(interval_min),stddev_samp(Efficiency)
0,7,1.2910177124731452,1.000284981476204,29.999999999999993,11.024518840529757,9.477385691594927,0.7170277651172581
1,15,1.2828960751564766,1.000284981476204,29.999999999999993,10.369534882850092,8.986137479357854,0.738354309887595
2,11,1.2792635216987889,1.0002545176889794,29.999999999999993,10.53103093042539,9.075261402834935,0.6721588153756395
3,3,1.2636586966006398,1.0003368137420006,29.999999999999993,10.006798071599926,8.605115424637566,0.5471686507439798
4,8,1.3082396433098693,1.0002874389192296,29.26829268292683,10.068465845822134,8.607175119804987,0.7407198772933855
5,22,1.247609041853373,1.0002732987154959,29.09090909090909,9.912740933177345,8.577140022480691,0.5223884172944423
6,16,1.2804181533261059,1.000292483182217,29.999999999999993,9.829315639852041,8.516223780829106,0.7180785138241369
7,0,1.255583253472831,1.000314564328405,29.999999999999993,9.702804613002751,8.35880389467272,0.5041297813082842
8,5,1.2813674576966343,1.0003705075954057,29.72972972972973,11.358271915847466,9.699856640020148,0.6868704807012628
9,18,1.2687016136404536,1.0002506893958385,28.915662650602407,9.325624007865386,8.085968912261993,0.6479027423163622
10,17,1.276490065335,1.0002083767451553,29.999999999999993,9.423426137263961,8.165807010978426,0.6935743987667436
11,6,1.2784858198279179,1.0003437607425232,29.999999999999993,12.070294750129865,10.367454975712102,0.6804645864193696
12,19,1.254531153517675,1.0001841959845275,29.999999999999993,9.518318282163401,8.26960038014068,0.5802120280343422
13,23,1.2512972843706953,1.0002347969006808,29.999999999999993,9.811999567841859,8.471484068234526,0.5205065821571531
14,9,1.2997429411561663,1.0003789314134142,29.999999999999993,9.997658657954736,8.555893114862293,0.6929574561455434
15,1,1.2615073365001588,1.0001996406468356,29.999999999999993,9.64662452650986,8.290800864107846,0.5228351243422737
16,20,1.2480740200869909,1.0002874389192296,29.411764705882355,9.668957328329524,8.388142569365847,0.5507333398810113
17,10,1.288939371728252,1.000228362639872,29.714285714285715,10.181420450035718,8.729110720868482,0.6727355364552458
18,4,1.2637215329928333,1.0003547357218872,29.50819672131147,10.488965858746301,9.002532605471384,0.5882488132022339
19,12,1.269197303290955,1.0003206155819173,29.999999999999993,10.731821307493522,9.286730662348514,0.6586093622132835
20,13,1.2708044893240893,1.000256476019492,29.702970297029704,10.86822042883198,9.409569944690734,0.7008145138907321
21,14,1.274921959632961,1.0002525890376357,29.411764705882355,10.829707173308618,9.393765029348147,0.6971132255420925
22,21,1.2474746483055277,1.0003206155819173,29.999999999999993,9.816379612355634,8.500378280807197,0.5485744434772766
23,2,1.2635162358433343,1.0003334444814937,29.26829268292683,9.743986244063217,8.37331718745238,0.5360993839202806
